,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
n155,0.001318790282597923,0.0013088745661873967,0.0013088745661873932,0.22286564204263762,0.10354982647496289,0.1186117997025287,0.28617749132374815,0.2371194843827467,0.0,0.1805602379771939,0.1031184928111058,0.06655924640555294,0.14599900842835895,0.22170550322260787,0.22024789291026278,0.20766980664353019,0.2188200297471492,0.26121963311849267,0.1027863163113536,0.0796479920674268,0.11909766980664374,0.14264749628160642,0.22530986613782852,0.1676053544868616,0.2389291026276649,0.14586514625681699,0.14368864650471005,0.10802677243430846,0.07435299950421398,0.09092711948438266,0.03914229053049045,0.09246405552801217,0.06907288051561719
n159,0.0012890431333663916,0.0012791274169558636,0.0012592959841348393,0.22047595438770454,0.10263262270699068,0.11768468021814599,0.28324243926623704,0.23804660386712945,0.0,0.18006941001487362,0.10282597917699574,0.0663758056519585,0.1449231531978185,0.22191373326722857,0.2181705503222608,0.20377788795240476,0.21672285572632619,0.2602578086266731,0.10187407040158668,0.07892910262766477,0.1182449181953398,0.14171046108081317,0.2180912245909767,0.16688646504709959,0.24036688150718896,0.14547843331680713,0.1432870599900844,0.10768468021814584,0.07409519087754071,0.09061973227565684,0.03906296479920639,0.0922062469013389,0.06883986117997017
n161,0.001373326722855735,0.001333663857213672,0.0013534952900346859,0.23118988596926132,0.11025285076846808,0.12636588993554806,0.31749132374814093,0.2547694595934557,0.0,0.18814576103123462,0.107357461576599,0.06934556271690644,0.15570649479424892,0.23197818542389675,0.22864154685176002,0.2157164105106596,0.22716410510659393,0.26802677243430834,0.10956370847793766,0.08467526028755568,0.12700545364402585,0.15233515121467514,0.2327565691621221,0.17956866633614266,0.25234010907288046,0.15213187902825986,0.14956370847793757,0.11249380267724367,0.0774169558750617,0.09466534457114521,0.040713931581556326,0.09640555280119016,0.07176499752107092
n162,0.0013088745661874162,0.0012989588497768845,0.0013039167079821389,0.22102131879028264,0.10234506693108586,0.117451660882499,0.2775904809122461,0.2388200297471493,0.0,0.18104610808130892,0.1034159643034211,0.06662369856222126,0.1446504709965295,0.22342092216162623,0.21866137828458104,0.2029300941993061,0.21729796727813583,0.263634110064452,0.10164600892414492,0.07870104115022301,0.11796727813584551,0.1415418939018345,0.21583539910758553,0.16673772930094194,0.24197818542389696,0.14623698562221116,0.1439067922657413,0.10823996033713446,0.07449677739216641,0.0911303916707981,0.039226574119979804,0.09268220128904342,0.06920178482895382
n163,0.0013832424392662436,0.0013634110064452052,0.0013733267228557102,0.23235002478929104,0.10932573128408532,0.1253148239960339,0.3535547843331682,0.25289538919186916,0.0,0.188948934060486,0.10778879524045622,0.0696727813584533,0.15444719881011407,0.2329499256321268,0.22960337134357958,0.21588001983143298,0.22828458106098168,0.27078829945463556,0.10868616757560742,0.08400099157164097,0.125959345562717,0.15096182449181944,0.2328011898859694,0.17777887952404547,0.25265741199801683,0.15274665344571153,0.15027764005949434,0.11298958849776918,0.07774417451660856,0.0950223103619236,0.04085275161130348,0.09678235002478953,0.0720475954387705
n164,0.0011998016856717925,0.0011898859692612714,0.0011353495290034453,0.2011601388200298,0.12269707486365887,0.14127416955875077,0.23817550818046626,0.24836390679226578,0.0,0.16621219633118514,0.09507684680218155,0.061328705999008484,0.17436787307882992,0.20551313832424403,0.19919682697074861,0.19586018839861194,0.19802181457610316,0.22465542885473486,0.12193356470004961,0.09222607833415937,0.14198810114030772,0.1720723847297968,0.20649975210708985,0.2047397124442239,0.23115022310361932,0.1344174516608827,0.13246901338621725,0.09975706494794256,0.06852255825483382,0.08399603371343572,0.03600396628656389,0.08543877045116524,0.06356470004957854
n166,0.0012543381259296008,0.0012592959841348393,0.0012394645513138219,0.21827466534457113,0.11589985126425384,0.1333118492811107,0.26219137332672293,0.26981160138820043,0.0,0.18107089737233517,0.1034159643034211,0.06673277144273689,0.164268715914725,0.22473971244422414,0.21599900842835898,0.20544372830937058,0.2149925632126921,0.24634110064452136,0.11527020327218658,0.08829945463559724,0.13394645513138337,0.1620773425880019,0.21665840356965796,0.19236489836390674,0.25285076846802174,0.14637084779375303,0.144095190877541,0.10830441249380277,0.07456122954883468,0.0912146752602875,0.03921665840356929,0.09279127416955904,0.06926623698562218
n167,0.0013634110064452245,0.0013187902825979054,0.001318790282597902,0.22998016856717898,0.10807635101636102,0.12388200297471512,0.30775409023301936,0.2520872583044126,0.0,0.18794248884481918,0.10731284085275171,0.06929598413485388,0.152563212692117,0.2323301933564699,0.2275210708973723,0.21281110560237998,0.22606841844323253,0.26929102627664847,0.10736737729300946,0.08294992563212687,0.12446207238472992,0.1493356470004957,0.22767972235994066,0.1760337134357956,0.2526524541398116,0.1519484382746654,0.14942488844819043,0.11236489836390702,0.07731779871095658,0.09456122954883482,0.040689142290530056,0.09628160634605878,0.07168567178978683
n168,0.0012642538423401112,0.0012840852751611214,0.0012692117005453515,0.22121963311849283,0.11457610312345068,0.13166584035696594,0.26730292513634113,0.2700743678730789,0.0,0.18344075359444725,0.1048091224590978,0.06760039662865659,0.16212692117005464,0.22768963807635095,0.219048091224591,0.2071194843827469,0.21787803668815062,0.2504462072384728,0.11392166584035715,0.08730292513634094,0.13235002478929112,0.15996033713435784,0.21882002974714934,0.1895587506197323,0.25563708477937536,0.14823500247892907,0.14580069410014887,0.1097471492315321,0.07552801189885948,0.09235994050570147,0.03970748636588953,0.0940604858701044,0.07011403073872086
n169,0.0013287059990084336,0.0013039167079821423,0.0013039167079821354,0.22524045612295487,0.10083292017848294,0.1157164105106596,0.25599900842835904,0.23788299454635606,0.0,0.18486861675756078,0.10544372830937046,0.06808626673277159,0.14231531978185424,0.22889439762022798,0.22272186415468517,0.20177987109568687,0.2214675260287555,0.28438274665344554,0.10019831432821039,0.0774268715914724,0.11621715418939037,0.13947446703024302,0.20979176995537943,0.16453148239960336,0.24622211204759545,0.1493554784333168,0.14675260287555783,0.11049082796232043,0.0759643034209219,0.09298958849776887,0.039965294992562794,0.09457610312345101,0.07049578582052551
n170,0.0013435795736242019,0.0013237481408031632,0.0013237481408031563,0.22770946950917195,0.10732275656916221,0.12288547347545878,0.2955379276152702,0.25187407040158655,0.0,0.18677739216658415,0.10664352999504227,0.0688200297471494,0.15162121963311856,0.23098165592464043,0.22525037183936536,0.2101834407535946,0.22385225582548338,0.2659593455627168,0.10664848785324746,0.08230044620723839,0.12371839365394159,0.14854734754586013,0.22404561229548847,0.17514129895884958,0.2523351512146752,0.15092711948438273,0.1484134853743183,0.1115964303420924,0.07684680218145733,0.09402578086266725,0.04032721864154643,0.09561725334655458,0.0711998016856718
n171,0.0012940009915716477,0.0012890431333663723,0.0012791274169558567,0.22344075359444718,0.11334655428854733,0.13023797719385238,0.26776400594942995,0.27203767972236004,0.0,0.18547843331680725,0.10606841844323263,0.06833415964303437,0.16022310361923656,0.23075359444719873,0.2212097174020823,0.20778879524045635,0.2201784828953892,0.25365394149727294,0.1126276648487855,0.08640059494298448,0.13084283589489348,0.15797719385225573,0.21885969261279137,0.18741199801685673,0.2592612791274171,0.15001487357461574,0.14749132374814086,0.11100148735746175,0.07633614278631608,0.09341100644521556,0.04011898859692571,0.09512146752602904,0.07083787803668815
n173,0.0013088745661874125,0.001298958849776888,0.0012940009915716232,0.22637084779375305,0.1112890431333664,0.12787803668815093,0.27024293505205754,0.2697322756569163,0.0,0.18808130887456634,0.10734754586018848,0.06935052057511171,0.1573673772930095,0.23428358948934042,0.22411006445215664,0.20860188398611823,0.2229499256321269,0.2581655924640553,0.11053049082796249,0.08496281606346044,0.12842835894893412,0.15497273177987095,0.21917203767972243,0.18384729796727814,0.2624442240951911,0.15204263758056524,0.14948438274665346,0.11245909766980684,0.07735746157659863,0.09462072384729789,0.04071888943976159,0.09633614278631657,0.07172037679722364
n174,0.001323748140803181,0.0013138324243926476,0.001328705999008414,0.2278978681209717,0.10995537927615275,0.12629152206246924,0.2723599405057016,0.2654635597421915,0.0,0.18941993058998527,0.1079623202776401,0.06983143282102147,0.15536440257808629,0.2359593455627167,0.22565195835399104,0.2091323748140805,0.2244719881011403,0.26119980168567164,0.10936043629152217,0.08410014873574607,0.1268468021814577,0.1529598413485373,0.21951908775409038,0.18109568666336137,0.2630540406544375,0.15307387208725837,0.15058998512642544,0.11315815567674785,0.07786812097173994,0.09519087754090227,0.04094199305899807,0.09699058006941026,0.07222112047595446
