,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
n251,0.0008924144769459579,0.0008626673277144319,0.0008577094695091423,0.15755577590480907,0.05565691621219639,0.06390183440753615,0.1293306891422905,0.12658899355478426,0.0,0.1914625681705505,0.26809618244918204,0.13059990084283588,0.07785324739712454,0.1643083787803669,0.15910262766484876,0.12449677739216673,0.1601636093207735,0.13920178482895404,0.05533961328706006,0.0428606841844323,0.06385225582548343,0.07630143777887942,0.11748140803173027,0.08915716410510667,0.14027764005949436,0.17324243926623722,0.25212692117005464,0.23243926623698566,0.16530490827962302,0.21849281110560212,0.08411998016856707,0.2302280614774418,0.16989588497768962
n255,0.0008824987605354475,0.000842835894893411,0.0008329201784828636,0.15650966782350023,0.05529003470500751,0.06355974219137353,0.1285423896876549,0.1257263262270698,0.0,0.1901636093207736,0.27346554288547353,0.13196826970748635,0.07748636588993567,0.16326227069905805,0.15801685671789786,0.12375309866137843,0.1591422905304909,0.13831432821021333,0.05501735250371844,0.042667327714427356,0.06349033217649978,0.07583044124938013,0.1167873078829945,0.08864650470996539,0.13937530986613783,0.17299454635597447,0.24946455131383247,0.23564204263758054,0.1672583044124937,0.2214526524541395,0.08509667823500236,0.23325731284085288,0.17202776400594938
n256,0.000842835894893404,0.000827962320277648,0.0007982151710460761,0.14969757064947942,0.05308874566187413,0.0608527516113041,0.1230887456618742,0.12045116509667818,0.0,0.18120971740208233,0.29239960337134374,0.14170550322260791,0.07416460089241451,0.15601883986117995,0.15119484382746656,0.11846802181457633,0.1522310361923649,0.1324938026772435,0.05267724343083795,0.04096182449181962,0.06083292017848283,0.07265245413981147,0.11204759543877042,0.08489340604858717,0.13345562716906295,0.1679325731284087,0.2349281110560238,0.23983639067922657,0.18332176499752084,0.24438274665344575,0.09378284581060937,0.26479920674268725,0.1975012394645512
n260,0.000842835894893404,0.0008230044620723936,0.0007932573128408217,0.1499305899851264,0.05317798710956873,0.060976698066435506,0.12331680713931592,0.12063956370847788,0.0,0.18147744174516614,0.29287059990084297,0.14194843827466544,0.07432325235498267,0.15626177491323745,0.15142290530490832,0.11866137828458127,0.15249876053544864,0.13274169558750626,0.05277640059494305,0.041016360932077424,0.0609370352007932,0.07277640059494284,0.1122161626177491,0.08505205751115531,0.13372830937035196,0.16823004462072405,0.23541893901834404,0.24021814576103123,0.18361427863163093,0.24488349033217646,0.09390183440753548,0.26520575111551814,0.1977739216658403
n261,0.0008428358948934074,0.0008130887456618849,0.0007635101636092887,0.14693108577094702,0.05230540406544376,0.059826474962816255,0.12087258304412506,0.11842835894893407,0.0,0.17778879524045613,0.3037580565195839,0.14586514625681718,0.07296479920674272,0.15337630143777883,0.14858205255329707,0.11651462568170573,0.14946950917203763,0.13020823004462076,0.05176499752107098,0.040317302925136446,0.059737233515121356,0.07147744174516596,0.10998016856717896,0.08329697570649493,0.13113039167079815,0.16629152206246922,0.22885969261279132,0.24358453148239959,0.1902379771938522,0.25437778879524026,0.09747645017352452,0.27785324739712447,0.20795736241943455
n262,0.0008081308874566183,0.000793257312840864,0.0007535944471987729,0.14032226078334165,0.049657907783837385,0.057025285076846996,0.11553296975706506,0.11318294496777408,0.0,0.16945463559742208,0.2840555280118989,0.1345116509667824,0.06955379276152698,0.14621715418939027,0.1417402082300446,0.11115518096182476,0.1427962320277639,0.12433316807139314,0.04943480416460095,0.038324243926623904,0.05703520079325718,0.06826474962816052,0.10518591968269712,0.07981655924640563,0.12525037183936527,0.15976202280614782,0.21724838869608326,0.24909766980664347,0.17389687654933061,0.23389191869112538,0.08745166088249857,0.24269707486365893,0.1767278135845315
n263,0.0007684680218145817,0.000758552305404073,0.0007139315815567276,0.13571641051065955,0.04814080317302925,0.055324739712444365,0.11186415468517615,0.10950917203767989,0.0,0.16297967278135875,0.26425880019831444,0.13750619732275657,0.06734258800198313,0.14145265245414002,0.13706494794248886,0.10754090233019356,0.1378631631135349,0.12029747149231529,0.047887952404561285,0.03707486365889963,0.05538919186911245,0.06597421913733263,0.10160634605850276,0.07723847297967287,0.12119484382746645,0.15908279623202776,0.20462072384729788,0.3073029251363413,0.17856222112047576,0.24250371839365392,0.08806147744174492,0.23764997521070916,0.17225086762518588
n264,0.00084779375309866,0.0008180466038671392,0.0008031730292513304,0.15056023797719387,0.05331680713931588,0.06120475954387725,0.12377788795240467,0.12121467526028751,0.0,0.18228061477441754,0.2959345562716909,0.1361179970252851,0.07461576598909274,0.1569261279127417,0.15202776400594947,0.11913237481408054,0.15318790282597913,0.1332126921170055,0.053014377788795315,0.04118988596926134,0.061214675260287496,0.07311849281110547,0.11268715914724833,0.08543381259295998,0.13431333663857212,0.16858701041150248,0.23681705503222597,0.24169062964799212,0.1748537431829449,0.23313336638572127,0.0887357461576596,0.24644521566683195,0.18105106593951423
n266,0.0008527516113039161,0.000827962320277648,0.0008081308874565848,0.15045612295488345,0.053287059990084346,0.06117005453644048,0.1237183936539416,0.12113039167079816,0.0,0.18206742687159153,0.30323748140803203,0.13764501735250376,0.07458106098165597,0.15683688646504707,0.1519137332672286,0.11907288051561746,0.15307882994546357,0.13315319781854243,0.05296975706494801,0.04116013882002981,0.06117997025285071,0.07305404065443714,0.11258304412493796,0.08535448686167589,0.1341844323252355,0.16880019831432844,0.2361824491819533,0.24355974219137333,0.17708973723351498,0.23664848785324735,0.08988101140307349,0.25045116509667814,0.1840307387208727
n267,0.0007882994546356009,0.0007783837382250939,0.0007288051561725012,0.13980168567178985,0.04946455131383243,0.05682697074863678,0.11509172037679735,0.11275161130391685,0.0,0.1684779375309868,0.28418939018344075,0.1372930094199306,0.06933068914229051,0.1456470004957859,0.14126425384234012,0.11070401586514655,0.14222112047595423,0.12378284581060979,0.049276152702032776,0.03815071888943997,0.05684680218145749,0.06800198314328199,0.10479920674268721,0.07951412989588506,0.1247694595934555,0.16053049082796242,0.2145265245413981,0.2637084779375312,0.17821517104610796,0.24074863658899356,0.08907288051561693,0.2468071393158155,0.17898859692612795
