,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
n257,0.0007833415964303465,0.0007734258800198396,0.0007288051561725012,0.13489836390679244,0.04775904809122461,0.0548289538919188,0.11117501239464563,0.10875557759048107,0.0,0.1612692117005456,0.23055528011898857,0.1251313832424393,0.06692117005453638,0.14076846802181472,0.13638572136836888,0.10681209717402104,0.13740208230044626,0.11948934060485879,0.04764501735250377,0.0368567178978684,0.054838869608329094,0.06540902330193353,0.10099652949925637,0.07659890927119496,0.1203420922161626,0.1634506693108578,0.1985324739712444,0.3584432325235499,0.15526524541398093,0.20429846306395621,0.07831432821021318,0.20481408031730314,0.14971244422409538
n265,0.0007783837382250869,0.0007635101636093274,0.0007238472979672433,0.1338472979672783,0.04746653445711455,0.054422409519087875,0.11020823004462084,0.1078334159643036,0.0,0.15997025285076868,0.22884481903817555,0.1241646008924145,0.06644521566683187,0.13956866633614293,0.1352900347050075,0.10591968269707507,0.1361874070401587,0.11858701041150228,0.04730292513634114,0.03662369856222142,0.05441745166088241,0.06488844819038175,0.10019831432821028,0.07593455627169073,0.11935052057511156,0.1623698562221121,0.19713931581556765,0.35529003470500753,0.15418939018344058,0.20272682201289036,0.07777392166584035,0.2034258800198317,0.14862667327714443
n271,0.00040158651462568636,0.0004809122459097981,0.0004164600892414177,0.07591968269707515,0.027144273673773204,0.03128408527516125,0.06279623202776415,0.06151214675260286,0.0,0.08958849776896394,0.09717402082300437,0.12202776400594938,0.03796232027764014,0.07869608329201794,0.07685176003966292,0.06020823004462092,0.07731779871095669,0.0674714923153196,0.026901338621715492,0.020941993058998357,0.031160138820030034,0.03716410510659388,0.057174020823004344,0.043480416460089176,0.06799206742687164,0.10633614278631646,0.09505701536936059,0.10494794248884483,0.10133366385721354,0.09800198314328207,0.05701041150223076,0.09459593455627184,0.07405057015369348
n274,0.0004313336638572212,0.00048587010411505247,0.0004263758056519299,0.0791769955379279,0.02826474962816091,0.03261774913237491,0.06559246405552807,0.06413981160138817,0.0,0.09445215666831949,0.12923153197818524,0.2549826474962816,0.039742191373326845,0.0822607833415965,0.07996529499256322,0.06294496777392186,0.08065443728309347,0.07035696579077828,0.028046603867129486,0.021764997521070837,0.0325780862667331,0.03875557759048082,0.0595686663361427,0.04523054040654437,0.07086266732771446,0.10479424888448205,0.10982151710461086,0.12794248884481915,0.17879028259791746,0.14688646504709954,0.09272682201288994,0.13562716906296518,0.10928111056023804
n275,0.0005999008428359041,0.0006147744174516865,0.0005552801189885569,0.10917699553792781,0.03902825979177001,0.044952900347050254,0.09031234506693127,0.08843827466534473,0.0,0.13122954883490345,0.21651958353991088,0.16713435795736237,0.05457610312345073,0.11360436291522066,0.11035696579077835,0.08670798215171059,0.11109072880515602,0.0970401586514625,0.03886465047099675,0.02997521070897383,0.044650470996529676,0.05343579573624189,0.0820178482895389,0.062389687654933086,0.09779871095686658,0.13073376301437786,0.16456618740704002,0.2096678235002477,0.23050570153693578,0.25871591472483885,0.09871591472483827,0.22640555280118993,0.16511155180961823
n280,0.0005899851264253937,0.0006098165592464322,0.0005602379771938183,0.10895389191869134,0.03895389191869118,0.04485870104115042,0.09016360932077361,0.08824987605354502,0.0,0.1309618244918197,0.21612295488349048,0.1668071393158155,0.05444719881011407,0.11341100644521569,0.11010411502231032,0.0864402578086268,0.1108725830441248,0.09685671789786802,0.03880019831432843,0.02992563212692127,0.04454139811601408,0.05336638572136831,0.0818294496777392,0.062255825483391196,0.09759543877045113,0.13045116509667828,0.16425880019831424,0.20931581556767456,0.23011403073872064,0.25814576103123443,0.0985027268220123,0.22601883986118,0.16479920674268717
n281,0.0004610808130887526,0.0004957858205255611,0.00044620723847295433,0.08413485374318311,0.030213187902826233,0.03471988101140316,0.06975706494794245,0.06828458106098166,0.0,0.1007882994546358,0.14773425880019844,0.26018839861179954,0.04217154189390196,0.08739216658403573,0.08525037183936539,0.06688150718889461,0.08570153693604357,0.07477441745166089,0.029955379276152883,0.023202776400594954,0.034680218145761374,0.041269211700545295,0.06331680713931583,0.048230044620723875,0.07544372830937045,0.10875557759048105,0.1207139315815568,0.14382746653445713,0.2127416955875061,0.17232027764005942,0.10345562716906244,0.157005453644026,0.1253197818542389
n282,0.0005106593951413083,0.000535448686167603,0.00047099652949922604,0.0903916707982153,0.03230044620723869,0.03712444224095205,0.0747694595934556,0.07326227069905811,0.0,0.10842340109072884,0.16743182944967747,0.23014873574615757,0.04512642538423414,0.09408527516113041,0.09142290530490829,0.07178482895389218,0.09191373326722857,0.08039662865642036,0.03213187902825993,0.024873574615766003,0.037099652949925954,0.0442637580565195,0.06796727813584547,0.051834407535944566,0.08089737233515132,0.1135944471988102,0.13255329697570664,0.1618145761031234,0.24204759543877008,0.19871095686663354,0.10764997521070852,0.1788051561725335,0.1395240456122953
n286,0.0005453644025780975,0.0005800694100148991,0.0005205751115517765,0.10024789291026301,0.035805651958354064,0.04116509667823526,0.08293505205751124,0.08111056023797734,0.0,0.12042141794744678,0.1935994050570153,0.19663857213683678,0.05007436787307893,0.10420426375805658,0.10131879028259788,0.07971244422409537,0.10196826970748632,0.0891373326722855,0.03559742191373351,0.02754586018839869,0.04106098165592492,0.04908279623202768,0.0753495290034706,0.057293009419930686,0.08981160138820027,0.12272186415468528,0.14972235994050578,0.18661874070401588,0.27100148735746143,0.23171046108081297,0.10637084779375272,0.2061774913237483,0.15526028755577603
n287,0.0004263758056519634,0.00048587010411505247,0.000421417947446672,0.07874070401586543,0.028205255329697854,0.03248884481903825,0.065280118988597,0.06386712940009913,0.0,0.09421913733267247,0.13487357461576588,0.3604709965294993,0.03952900347050087,0.08181953396132881,0.07958353991075857,0.06267228557263282,0.08020823004462053,0.07003470500743667,0.02795240456122963,0.021690629647991993,0.03247892910262799,0.03862171541893892,0.05932077342587991,0.04502231036192362,0.0705255329697571,0.10275161130391691,0.11161130391670801,0.1315220624690134,0.19372335151214656,0.15544372830937025,0.10395637084779324,0.14327714427367394,0.11724343083787817
n291,0.00043629152206247734,0.00048587010411505247,0.00043133366385718423,0.07953396132870628,0.02840356965790806,0.03273673772930104,0.06579573624194351,0.06436291522062466,0.0,0.09508180466038689,0.1367773921665839,0.3834903321764998,0.039866137828458215,0.0825384234010908,0.08025780862667327,0.06316311353495309,0.08091720376797203,0.07065939514129885,0.028160634605850367,0.021888943976202235,0.03269211700545398,0.03893406048587002,0.05976202280614767,0.04541893901834407,0.07110064452156671,0.1033267228557265,0.11276152702032724,0.13314328210213192,0.19701041150223092,0.15771442736737717,0.10588497768963757,0.1454784333168073,0.11924144769459599
