,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
n94,0.0005354486861675853,0.0005602379771938782,0.00050570153693601,0.09714427367377305,0.19918691125433824,0.1982895389191871,0.1110609816559247,0.11357957362419442,0.0,0.07896380763510165,0.04591472483886977,0.02933564700049578,0.1387853247397125,0.09558750619732279,0.09590976698066432,0.10934060485870113,0.0953495290034705,0.10576598909271194,0.3192464055528014,0.09418939018344047,0.1693108577094695,0.16607833415964307,0.11389687654933074,0.1435250371839365,0.106177491323748,0.06420426375805671,0.06355478433316807,0.04810609816559251,0.033098661378284676,0.04047595438770443,0.017288051561725155,0.04131383242439284,0.030768468021814464
n95,0.0005651958353991185,0.0005899851264254113,0.0005304908279622816,0.10177491323748165,0.20567178978681216,0.2145265245413982,0.11632126921170063,0.1192761527020328,0.0,0.08294992563212694,0.04805651958354007,0.030941993058998484,0.14509667823500247,0.10024789291026283,0.10063956370847786,0.11426375805651964,0.09991571641051064,0.11087754090233025,0.3003024293505205,0.09666336142786289,0.17699553792761533,0.17770946950917207,0.1192067426871593,0.15146752602875563,0.11132870599900838,0.06733267228557285,0.06654933068914236,0.05018344075359456,0.03466038671294009,0.042523549826474924,0.018081308874566035,0.043351512146752785,0.03227565691621205
n96,0.0005999008428359059,0.0006048587010411778,0.0005602379771938148,0.10567178978681237,0.20785324739712446,0.23251859196826996,0.12091224590976715,0.12388200297471509,0.0,0.08588497768963814,0.049881011403073994,0.03207238472979667,0.15,0.10411006445215676,0.10434308378780367,0.11828953891918698,0.10377293009419922,0.11510163609320781,0.2515220624690137,0.098180466038671,0.18208725830441272,0.19104610808130884,0.12346058502726825,0.1590233019335647,0.11577590480912245,0.06975706494794273,0.06915220624690141,0.052117005453644186,0.03598909271194851,0.044214179474466965,0.018790282597917568,0.04481408031730311,0.033480416460089084
n97,0.0005354486861675853,0.0005602379771938782,0.0004908279623202435,0.09464055528011914,0.19673277144273682,0.18713435795736272,0.10822508676251864,0.11081804660386718,0.0,0.07697074863658902,0.04475954387704532,0.02860188398611799,0.13550322260783346,0.09310857709469517,0.09361427863163112,0.10691125433812607,0.09290034705007437,0.10309866137828459,0.2630094199305901,0.0940753594447196,0.1650718889439762,0.15865642042637568,0.11136341100644521,0.1388943976202281,0.10342092216162599,0.06259791769955397,0.061973227565691624,0.046841844323252384,0.03226078334159649,0.03952900347050064,0.016941001487357287,0.04040158651462581,0.029945463559742126
n98,0.0005800694100148814,0.0005850272682201569,0.0005404065443727903,0.10106593951413011,0.20635597421913734,0.20966286564204276,0.115493306891423,0.11851760039662872,0.0,0.08242439266236985,0.047739216658403735,0.030708973723351494,0.14424888448190382,0.09969261279127421,0.09992563212692109,0.1135597421913734,0.09923648983639066,0.11004957858205258,0.287550818046604,0.09654933068914201,0.1761973227565692,0.17483886960832926,0.11839861179970267,0.1500099157164106,0.11070401586514621,0.06682697074863682,0.06611799702528515,0.049871095686663446,0.03447694595934565,0.04222607833415962,0.017942488844818874,0.04306891422905324,0.032097174020822856
n99,0.0006246901338621811,0.0006346058502727074,0.00058502726822009,0.11016360932077361,0.20405552801189894,0.26422905304908306,0.12606346058502754,0.12957362419434826,0.0,0.08985622211204775,0.05207238472979677,0.03348537431829448,0.15524541398116018,0.10887952404561235,0.10889439762022808,0.1228111056023799,0.1082102131879027,0.12017848289538928,0.22435795736241948,0.09918195339613259,0.18686663361427888,0.21529499256321252,0.1282647496281606,0.16927615270203264,0.12091224590976705,0.07287555775904823,0.07218641546851762,0.05433316807139334,0.037550818046603915,0.04611303916707976,0.019647992067426782,0.04672285572632645,0.03499752107089722
n100,0.0005453644025780975,0.000565195835399136,0.0005106593951412608,0.09641546851760055,0.20718889439762025,0.18298463063956397,0.11000991571641056,0.11260783341596435,0.0,0.07835894893406052,0.0455032226078336,0.029102627664848783,0.1381408031730293,0.09471492315319788,0.09520079325731282,0.10887952404561241,0.09469013386217155,0.10490332176499753,0.21849776896380776,0.09666831928606812,0.16880515617253344,0.15810609816559237,0.1133217649975211,0.14022310361923648,0.10522558254833896,0.0636737729300944,0.0630044620723847,0.047674764501735294,0.032840852751611395,0.040168567178978584,0.01718393653941479,0.04102627664848802,0.03050570153693593
n101,0.0005850272682201358,0.0005949429846306656,0.0005453644025780447,0.10376797223599431,0.21343083787803668,0.21392662369856233,0.11874070401586526,0.12154189390183452,0.0,0.0844670302429351,0.04893901834407553,0.031556767476450136,0.1480267724343084,0.10226078334159647,0.10263262270699056,0.11650470996529506,0.10190381755081795,0.1131383242439267,0.25247892910262787,0.09826474962816034,0.18099652949925651,0.17885969261279128,0.12147248388696091,0.15394149727317805,0.1136390679226574,0.06862171541893927,0.06792265741199807,0.051160138820029885,0.03534952900347059,0.04332672285572627,0.018472979672781217,0.044105106593951594,0.032880515617253185
n102,0.0005999008428359041,0.0006197322756569444,0.0005602379771938148,0.10995537927615291,0.20347050074367884,0.2579028259791773,0.12575111551809645,0.12917203767972257,0.0,0.08957858205255345,0.05195835399107589,0.03340109072880513,0.15549330689142296,0.10860684184432334,0.10865642042637581,0.12261774913237496,0.10798215171046098,0.11986117997025293,0.21437283093703538,0.09903321764997493,0.1882052553296978,0.20687654933068914,0.12804660386712935,0.16756569162121956,0.12063460585027273,0.07269211700545382,0.07199305899851267,0.05420922161626196,0.03747149231531984,0.04597917699553785,0.01961824491819525,0.04659890927119506,0.03489340604858686
n103,0.0005651958353991185,0.0005899851264254113,0.0005404065443727903,0.10346058502726846,0.2196182449181953,0.20316807139315826,0.11837382250867635,0.12104610808130897,0.0,0.08421417947446709,0.048795240456123115,0.03143777887952401,0.14800694100148734,0.10183440753594449,0.10231531978185421,0.11634605850272689,0.10158651462568165,0.11276152702032728,0.21804164600892423,0.09834903321764969,0.18201784828953915,0.17364898363906797,0.12126921170054546,0.1522855726326228,0.11317798710956865,0.06840852751611327,0.06771938522558259,0.051006445215666954,0.03518591968269716,0.043212692117005395,0.018403569657907633,0.043976202280614954,0.032786316311353335
